case,layout,group,strict_success,final_xy_mm,final_so3_rad,sim_s,wall_s,video,c1_violation,hard_collision_steps,acceptable_target_force_peak_n,acceptable_force_norm_integral_ns,acceptable_contact_gt2mN_s,ranking_changes,ranking_events,core_volume_query_s,stop_reason
000,doll_side,hard,True,12.004454565217063,0.09900534696047075,31.9,218.23892547097057,True,False,0,0.12675029039382935,0.9823195421602577,22.616666666666667,0,3,0.06698999600484967,strict_pose_dwell_success
000,doll_side,soft,True,9.335863935113414,0.09843781373738601,23.966666666666665,261.83748423401266,True,False,0,0.12970365583896637,0.4975808738498017,13.5875,1,2,0.050470597110688686,strict_pose_dwell_success
001,doll_side,hard,True,11.802421902730723,0.09986584316135137,32.15,126.5790435038507,False,False,0,0.1433127522468567,1.0293828394419202,22.904166666666665,0,3,0.06620525056496263,strict_pose_dwell_success
001,doll_side,soft,True,9.171552973871497,0.09819670020872952,23.995833333333334,181.7785701341927,False,False,0,0.12551306188106537,0.25344569052491955,5.129166666666666,1,2,0.047028991393744946,strict_pose_dwell_success
002,doll_side,hard,True,11.74811473781634,0.09890090827520083,32.15,127.97701434604824,False,False,0,0.12191908061504364,1.120367201056797,22.920833333333334,0,3,0.06667233072221279,strict_pose_dwell_success
002,doll_side,soft,True,9.345712403226141,0.0978265603991987,23.95,188.22511694440618,False,False,0,0.12624575197696686,0.324490514201049,13.4,1,2,0.04776434227824211,strict_pose_dwell_success
003,doll_side,hard,True,11.797614515582062,0.0999872637980671,32.15,128.73287558928132,False,False,0,0.15090717375278473,0.883473154824848,22.9,0,3,0.06700509274378419,strict_pose_dwell_success
003,doll_side,soft,True,9.274087456372959,0.09905184610341664,23.995833333333334,184.6501586260274,False,False,0,0.11722327023744583,0.401291288008603,13.604166666666666,1,2,0.047642949502915144,strict_pose_dwell_success
004,doll_side,hard,True,11.780327814414294,0.09905153095247145,32.15,126.97370884707198,False,False,0,0.13708506524562836,0.8675188167757976,22.920833333333334,0,3,0.06748380605131388,strict_pose_dwell_success
004,doll_side,soft,True,9.297169240543832,0.09897922110687495,23.9875,185.20586548792198,False,False,0,0.11912694573402405,0.371227123378776,13.620833333333334,1,2,0.04724670900031924,strict_pose_dwell_success
005,doll_front,hard,True,4.540198324160632,0.0863472344485684,33.12083333333333,229.51153914164752,True,False,0,0.5285035967826843,1.9036625695058926,23.954166666666666,0,3,0.07047550799325109,strict_pose_dwell_success
005,doll_front,soft,True,4.540198324160632,0.0863472344485684,33.12083333333333,226.7054071300663,True,False,0,0.5285035967826843,1.9036625695058926,23.954166666666666,0,3,0.06790247280150652,strict_pose_dwell_success
006,doll_front,hard,True,4.806719437600547,0.09826075638073441,33.520833333333336,131.07505639316514,False,False,0,0.47643646597862244,2.0291038811788895,24.416666666666668,0,3,0.06745187379419804,strict_pose_dwell_success
006,doll_front,soft,True,4.806719437600547,0.09826075638073441,33.520833333333336,133.2350280759856,False,False,0,0.47643646597862244,2.0291038811788895,24.416666666666668,0,3,0.06764682242646813,strict_pose_dwell_success
007,doll_front,hard,True,6.537073312283037,0.08057047021209844,33.15416666666667,129.82417787518352,False,False,0,0.5703624486923218,1.7747195246021874,24.016666666666666,0,3,0.0665849456563592,strict_pose_dwell_success
007,doll_front,soft,True,6.537073312283037,0.08057047021209844,33.15416666666667,127.31859209621325,False,False,0,0.5703624486923218,1.7747195246021874,24.016666666666666,0,3,0.06671696482226253,strict_pose_dwell_success
008,doll_front,hard,True,5.644416716396662,0.09954062824243996,24.53333333333333,101.68944867467508,False,False,0,0.5643491148948669,1.6315780758434508,15.425,0,2,0.04988626716658473,strict_pose_dwell_success
008,doll_front,soft,True,5.644416716396662,0.09954062824243996,24.53333333333333,104.79420688282698,False,False,0,0.5643491148948669,1.6315780758434508,15.425,0,2,0.05016543762758374,strict_pose_dwell_success
009,doll_front,hard,True,5.6961056740302105,0.1018999202828484,24.608333333333334,102.2425660896115,False,False,0,0.5545541048049927,1.635668459162116,15.504166666666666,0,2,0.049501287285238504,strict_pose_dwell_success
009,doll_front,soft,True,5.6961056740302105,0.1018999202828484,24.608333333333334,100.56362896086648,False,False,0,0.5545541048049927,1.635668459162116,15.504166666666666,0,2,0.04954923689365387,strict_pose_dwell_success
010,optional_contact,hard,True,13.40663988018476,0.09570076840053171,23.233333333333334,163.8303560563363,True,False,0,0.019212182611227036,0.030796447697017962,4.75,0,2,0.0427966364659369,strict_pose_dwell_success
